en_clean,ar_clean
i just didnt want to lie to myself and believe you heard me for relief,كنت باخاف اضحك علي نفسي واصدق انك سامعاني عشان استريح
but this time i am desperate for you to hear me,لكن المرة دي، اكتر مرة محتاجك تبقي سامعاني فيها
ive never felt this lost,لاني عمري ما كنت حاسس اني تايه كده
i miss you mom,انت وحشتيني يا امي
my only wish is that you say something to lighten my path,نفسي اسمع منك كلمة تدلني
how do i get out of this maze,ازاي هاخرج من المتاهة اللي انا فيها دي
im worried about refaat,انا قلقانة علي رفعت
hes neither answering the phone nor showing up at the university,رفعت مش بيرد علي التليفون ومش بيروح الجامعة
although i brought you together i advise you to get over him,مش انا اللي كنت ورا الموضوع، انا دلوقتي باقولك انسيه
i knocked on his door so many times but no one answered,انا رحت لحد البيت، قعدت اخبط كتير ومحدش فتح
just come with me this time,فبس عايزاكم تيجو معايا المرة دي
no im not going there just to get thrown out like last time,لا، انا مش هاروح له زي المرة اللي فاتت ويطردني
he wants to be alone,مش هو عايز يبقي لوحده؟
then leave him alone,يبقي لوحده
ladies give him a break,يا جماعة سيبوه ياخد وقته
ill go check on him later,وانا شوية كده وهاروح اشوف في ايه
youre a genius who has it all figured out,لا وانت فالح اوي يا خويا بتعرف تتصرف
yes i do raeefa,ايوة يا رييفة باعرف
nonsense,اتنيل
god,الله
im the one carrying your burden,ده انا اللي شايلة همك في كل صغيرة وكبيرة
enough,ما كفاية بقا
if you dont come with me ill go and knock his door down,انتو لو ماجيتوش معايا، هاروح وهاكسر الباب
howaida wait,هويدا، استني
eleven days the longest period that the human brain can endure with no sleep before collapsing,اقصي مدة يتحملها العقل البشري بدون نوم قبل ان ينهار هي يوم
sleep deprivation can lead to visual and auditory hallucinations and sensory disorders,قلة النوم قد تودي الي هلاوس سمعية وبصرية واضطراب في الحواس
my mind,عقلي
my mind,عقلي
my mind,عقلي
my mind,عقلي
the maze,المتاهة
maze,متاهة
the maze is my mind,المتاهة هي عقلي
the maze is my mind,المتاهة هي عقلي
here you go,اتفضل
what do you need all this equipment for doctor,انت محتاج الحاجات دي كلاتها في ايه يا دكتور؟
theres a giant mouse in my apartment,في في الشقة فار بس كبير شوية
i wanna catch it,كنت عايز امسكه
where are the sleeping pills,المنوم؟
here you go,اتفضل
the pharmacist says it should be taken every 12 hours with plenty of water so you can sleep,الدكتور بيقول لسعادتك ده يتاخد كل ساعة ومعاه مية كتير علشان يجيلك نوم
i know,عارف
refaats 5th law,قانون رفعت رقم القديم
if your mind tries to trick you humor it,لو عقلك لاعبك، خده علي قد عقله
refaats fifth law modified,قانون رفعت رقم بعد التعديل
if your mind tries to trick you trick it,لو عقلك لاعبك، لاعبه
refaat,رفعت
refaat,رفعت
what happened,ايه اللي حصل؟
refaat,رفعت
refaat,رفعت
why are you running,بتجري ليه؟
run,اهربوا
we have to call an ambulance,احنا لازم نكلم الاسعاف
raeefa,رييفة
talaat,طلعت
run talaat,اجري يا طلعت
talaat,طلعت
you no longer have to carry my burden raeefa,ماتشيليش همي يا رييفة
talaat,يا طلعت
talaat,يا طلعت
talaat,يا طلعت
get up talaat,يا طلعت قوم
get up,قوم
get up talaat,قوم يا طلعت
talaat come on get up talaat,يا طلعت قوم يا طلعت
whats wrong with you,ده وقته ده؟
wake up talaat,قوم يا طلعت
dr refaat it was a heart attack,دكتور رفعت، ازمة قلبية
he passed away,البقية في حياتك
we tried,احنا حاولنا بس
dr refaat,دكتور رفعت
refaat what did the doctor say,رفعت، الدكتور قالك ايه يا رفعت؟
is anyone there,يا اخونا؟
dr refaat,دكتور رفعت
i have to get inside the mansion,انا لازم ادخل البيت ده
call ibrahim,انده لي ابراهيم
tell him its dr refaat ismail,قوله دكتور رفعت اسماعيل
im glad that you came doctor,كويس انك جيت يا دكتور
you save me the effort,وفرت عليا
i was going to see you in cairo,انا كنت جايلك علي مصر
mr ibrahim left you this envelope,ابراهيم بيه سايبلك الظرف ده
he asked me to deliver it by hand,كان موصيني اديهولك بنفسي
where is ibrahim,وفين هو ابراهيم؟
may his soul rest in peace doctor,ابراهيم بيه، تعيش انت يا دكتور
is he dead,مات؟
how,مات ازاي؟
he hung himself,شنق نفسه
he hung himself before he left this house for you,شنق نفسه وكتب لك البيت باسمك يا دكتور
the mansion is yours now,البيت بقا ملكك يا دكتور
do whatever you want with it,اعمل فيه ما بدا لك
